Designator,Footprint,Quantity,Value,MPN,Link
"C1, C3",0402,2,100n,GXT155R71E104KE01D,https://mou.sr/3ReCbrt
"C2, C5, C6, C7",0603,4,10u,GRM188Z71A106KA73D,https://mou.sr/3QT9dgV
C4,0402,1,4.7u,GRM155C80J475MEAAJ,https://mou.sr/4tpjte7
D1,D_SOD-323,1,1N5819WS,1N5819WS,https://www.digikey.com/en/products/detail/shenzhen-slkormicro-semicon-co-ltd/1N5819WS/26112850
D2,0402,1,ORANGE,APHHS1005SECK,https://mou.sr/4tAjQTp
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,USB4105-GF-A,https://mou.sr/3F3o9Qf
J2,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,Conn_01x02_MountingPin,S2B-PH-SM4-TB(LF)(SN),https://mou.sr/4uEPik3
J5,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,1,Conn_01x04_MountingPin,BM04B-SRSS-TB(LF)(SN),https://mou.sr/4nlOzC0
J6,JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical,1,Conn_01x03_MountingPin,BM03B-SRSS-TB(LF)(SN),https://mou.sr/3PbSNQ8
Q1,SOT-23,1,AO3401A,AO3401A,https://www.digikey.hu/short/twfrrn3w
"R1, R2, R5, R6, R8",0402,5,10k,RC0402JR-7D10KL,https://mou.sr/3Qyq83Z
"R10, R7, R9",0402,3,5.1k,RC0402JR-075K1P,https://mou.sr/4djlcvs
"R3, R4",0402,2,22,RC0402JR-0722RL,https://mou.sr/3WMWZH5
SW1,SW_SPST_PTS810,1,RESET,PTS810SJM250SMTR LFS,https://mou.sr/4v3Dg4j
SW2,SW_SPST_PTS810,1,BOOT,PTS810SJM250SMTR LFS,https://mou.sr/4v3Dg4j
U1,RAK3172,1,RAK3172-T-8-SM-I,RAK3172-T-8-SM-I,https://www.lcsc.com/product-detail/C19723908.html?s_z=n_q_rak3172-t-8-sm-i&lcsc_vid=Q1FaUAcAEldbAwVQElFXV1UFQQNeAQFRE1cKAQFTQAUxVlNRT1deVVZRQ1FbVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4%3D
U2,MSOP-10_3x3mm_P0.5mm,1,CH340E,CH340E,https://www.lcsc.com/product-detail/C99652.html?s_z=n_q_CH340E&lcsc_vid=Q1FaUAcAEldbAwVQElFXV1UFQQNeAQFRE1cKAQFTQAUxVlNRT1deVVZfT1ReVjsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRlhZVVdfR1lADxALGw%3D%3D
U3,SOT-23-5,1,AP2112K-3.3,AP2112K-3.3TRG1,https://mou.sr/41TpKUl
U4,SOT-23-5,1,MCP73831-2-OT,MCP73831T-2ACI/OT,https://mou.sr/3ThCNeY
