Designator,Mid X,Mid Y,Rotation,Layer
C1,160.02,-103.096,90.0,top
C2,160.02,-100.584,270.0,top
C3,141.3764,-103.7056,90.0,top
C4,140.97,-100.0252,0.0,top
C5,121.933,-114.3,180.0,top
C6,130.048,-114.567,270.0,top
C7,125.971,-107.442,0.0,top
D1,122.555,-111.76,90.0,top
D2,116.9475,-113.8936,180.0,top
J1,116.775,-107.95,270.0,top
J2,125.222,-101.6,0.0,top
J3,144.78,-97.79,90.0,top
J4,139.7,-118.11,90.0,top
J5,137.795,-113.665,0.0,top
J6,138.43,-107.315,0.0,top
Q1,126.6975,-110.175,180.0,top
R1,162.052,-101.854,180.0,top
R10,122.555,-106.555,90.0,top
R2,160.02,-111.254,90.0,top
R3,134.112,-100.584,270.0,top
R4,134.112,-102.614,90.0,top
R5,124.46,-114.298,270.0,top
R6,123.952,-108.458,90.0,top
R7,133.094,-106.68,0.0,top
R8,118.9228,-113.8936,180.0,top
R9,122.555,-108.46,90.0,top
SW1,162.755,-105.367,270.0,top
SW2,162.755,-111.717,270.0,top
U1,150.715,-107.945,0.0,top
U2,137.7696,-101.9556,270.0,top
U3,127.1325,-113.985,180.0,top
U4,131.765,-104.0185,90.0,top
